author,title,nega_posi,score,length,words
小川未明,子供どうし,ポジティブ,0.8560002446174622,2178,"二人,孝二,女の子,岡田,清吉,少年,往来,押し,足音,追いかけ,ボタン,呼び鈴,思っ,出し,古い,咲い,学校,帰っ,意気,歩い,田舎っぺ,白い,知る,笑い,聞き,見合っ,赤い,走っ,走り,追っ,逃げよう,一人,一目散,下げ,伸び,傍ら,入っ,切らし,前方,去り,友だち,叫び,同じ,呼ぼう,垣根,大きな,女中,帰り,引き返し,待っ,徒歩,思わ,愉快,押せ,振り向く,教え,早い,曲がろう,最近,横道,止まっ,涙ぐましく,玄関,生え,田舎,畑地,真っ赤,知っ,短い,空き地,立ち止まっ,競走,答え,紛らそう,考え,聞い,自分,苦しい,苦笑い,見とどけ,見まわし,見る,見送っ,話し,近づい,近寄り,迫っ,追っかけ,逃げ腰,通ら,通る,速い,選手,開い,開く,隠れ,頼ま,駆け,鳴る,鶏頭,二人,孝二,女の子,岡田,清吉,少年,往来,押し,足音,追いかけ,ボタン,呼び鈴,思っ,出し,古い,咲い,学校,帰っ,意気,歩い,田舎っぺ,白い,知る,笑い,聞き,見合っ,赤い,走っ,走り,追っ,逃げよう,一人,一目散,下げ,伸び,傍ら,入っ,切らし,前方,去り,友だち,叫び,同じ,呼ぼう,垣根,大きな,女中,帰り,引き返し,待っ,徒歩,思わ,愉快,押せ,振り向く,教え,早い,曲がろう,最近,横道,止まっ,涙ぐましく,玄関,生え,田舎,畑地,真っ赤,知っ,短い,空き地,立ち止まっ,競走,答え,紛らそう,考え,聞い,自分,苦しい,苦笑い,見とどけ,見まわし,見る,見送っ,話し,近づい,近寄り,迫っ,追っかけ,逃げ腰,通ら,通る,速い,選手,開い,開く,隠れ,頼ま,駆け,鳴る,鶏頭"
竹久夢二,クリスマスの贈物,ポジティブ,0.8560035824775696,2644,"二郎,クロス,サンタ,ピストル,手紙,煙突,クリスマス,ラッパ,ハーモニカ,ピアノ,リボン,下さる,悪漢,赤い,サーベル,人形,天窓,子供,持っ,贈物,キュ,ナイフ,ピー,出し,呼び,知ら,駄目,クレヨン,ジョーカー,スケッチ,ストーブ,チッチッ,チッテタ,ッテ,テーブル,トッテッ,トッテッチ,ハンカチ,パン,フランス,一人,下さい,下さら,世界,光っ,出さ,出来,勘定,半分,吹い,喜ば,坊や,大喜び,大急ぎ,女王,好い,嬉しい,帰り,年寄り,待っ,忘れ,悪い,手袋,折り,持て,書い,書き,木の葉,来る,枕もと,欲ばっ,泣き,洋服,白い,知れ,立派,綿入,考え,自分,見る,言っ,貰え,遊び,鉛筆,頂戴,頬ばり,飛ん,黄色く,二郎,クロス,サンタ,ピストル,手紙,煙突,クリスマス,ラッパ,ハーモニカ,ピアノ,リボン,下さる,悪漢,赤い,サーベル,人形,天窓,子供,持っ,贈物,キュ,ナイフ,ピー,出し,呼び,知ら,駄目,クレヨン,ジョーカー,スケッチ,ストーブ,チッチッ,チッテタ,ッテ,テーブル,トッテッ,トッテッチ,ハンカチ,パン,フランス,一人,下さい,下さら,世界,光っ,出さ,出来,勘定,半分,吹い,喜ば,坊や,大喜び,大急ぎ,女王,好い,嬉しい,帰り,年寄り,待っ,忘れ,悪い,手袋,折り,持て,書い,書き,木の葉,来る,枕もと,欲ばっ,泣き,洋服,白い,知れ,立派,綿入,考え,自分,見る,言っ,貰え,遊び,鉛筆,頂戴,頬ばり,飛ん,黄色く"
小川未明,古いてさげかご,ポジティブ,0.8560143709182739,2146,"バスケット,写真,入れ,入っ,古い,汽車,使い,出し,友だち,思い出し,持っ,旅行,時代,時分,田舎,貝がら,載せ,金具,ギイギイ,バス,一昨,下げ,下ろさ,下ろし,乗ら,乗る,二人,使わ,働い,具合,出さ,出る,叔母,取り上げ,取り出し,古く,問題,喜び,土産,場所,奪う,学校,学生,守っ,帰り,帰る,平常,当て,忘れ,思う,思っ,悲しく,拾っ,換え,揺れ,景色,書き,楽しかっ,注意,流行,海岸,無理,独り言,白雲,知っ,石ころ,移し,笑い,答案,終わり,綴り方,置か,考え,考える,若い,茶の間,菓子,見せ,見つめ,見よう,赤い,赤ん坊,走っ,速力,連れ,運ん,遠い,遠方,重い,長い,電車,青々,青い,バスケット,写真,入れ,入っ,古い,汽車,使い,出し,友だち,思い出し,持っ,旅行,時代,時分,田舎,貝がら,載せ,金具,ギイギイ,バス,一昨,下げ,下ろさ,下ろし,乗ら,乗る,二人,使わ,働い,具合,出さ,出る,叔母,取り上げ,取り出し,古く,問題,喜び,土産,場所,奪う,学校,学生,守っ,帰り,帰る,平常,当て,忘れ,思う,思っ,悲しく,拾っ,換え,揺れ,景色,書き,楽しかっ,注意,流行,海岸,無理,独り言,白雲,知っ,石ころ,移し,笑い,答案,終わり,綴り方,置か,考え,考える,若い,茶の間,菓子,見せ,見つめ,見よう,赤い,赤ん坊,走っ,速力,連れ,運ん,遠い,遠方,重い,長い,電車,青々,青い"
高村光太郎,智恵子の紙絵,ポジティブ,0.8560187816619873,1154,"智恵子,或は,模様,置い,中々,仕事,作る,出来る,切つ,切りぬい,切りぬか,恥かし,手あたり,折紙,持つ,次第,看護,細工,見え,訪問,カム,シムメトリイ,バス,マニキュア,不可,丸の内,仕舞,以外,作ら,入院,其の,其処,出し,出る,切抜,切抜き,切紙,千代,千羽,半年,単色,単衣,及ぶ,同色,困らし,均衡,大へん,大切,天井,好き,妙味,始まつ,子供,対する,対照,小さな,尖端,尽き,布置,平常,強く,微妙,忘れ,意匠,感嘆,手工,技巧,抒情,折鶴,数百,於け,早速,昂奮,暫く,構成,機智,此の,毎日,比例,渡し,灯籠,生活,用ゐ,病者,病院,神経,立派,簡単,精神,紙きれ,紙づつみ,紙包,美しい,色彩,色調,芸術,行つ,表明,襲ね,要求,見せる,見つめ,見る,見ろ,記録,調和,貼りつけ,辞儀,近似,進ん,遅れ,部屋,配合,鎮静,題材,風情,風邪,飛躍,食事,食膳,驚い,智恵子,或は,模様,置い,中々,仕事,作る,出来る,切つ,切りぬい,切りぬか,恥かし,手あたり,折紙,持つ,次第,看護,細工,見え,訪問,カム,シムメトリイ,バス,マニキュア,不可,丸の内,仕舞,以外,作ら,入院,其の,其処,出し,出る,切抜,切抜き,切紙,千代,千羽,半年,単色,単衣,及ぶ,同色,困らし,均衡,大へん,大切,天井,好き,妙味,始まつ,子供,対する,対照,小さな,尖端,尽き,布置,平常,強く,微妙,忘れ,意匠,感嘆,手工,技巧,抒情,折鶴,数百,於け,早速,昂奮,暫く,構成,機智,此の,毎日,比例"
坂口安吾,てのひら自伝,ポジティブ,0.8560196161270142,1062,"二十,人間,サイコロ,円盤,学校,意志,生れ,結婚,選ぶ,オヤ,中学,危険,心がけ,恋愛,文化,生活,略歴,知れ,立っ,自動,自由,落ち,見合い,オモチャ,グランド,グルグル,シッタ,シャク,スリル,タカ,ハネ,バカ,ヒビ,ボール,リュック,一人,一生,不思議,久米,人まかせ,今日,仕方なし,仙人,冷やかさ,分り,助かっ,化けの皮,回転,地盤,墜落,大声,天来,女房,子供,定め,履歴,山登り,市内,心得,必然,思いだし,思っ,悩まさ,悪霊,悲しく,我々,投げやり,放校,散々,新潟,日ごろ,暗幕,柔道,楼閣,死ぬ,生命,発し,白状,看破,知識,砂上,窒息,童貞,至極,落っこっ,行く,行っ,要する,語ら,読み,谷川,谷底,追っかけ,追想,通し,通算,進歩,遠ざかる,選ん,選手,野球,長生き,関係,降り,限定,電車,飛ばさ,飛ん,飲ん,高熱,二十,人間,サイコロ,円盤,学校,意志,生れ,結婚,選ぶ,オヤ,中学,危険,心がけ,恋愛,文化,生活,略歴,知れ,立っ,自動,自由,落ち,見合い,オモチャ,グランド,グルグル,シッタ,シャク,スリル,タカ,ハネ,バカ,ヒビ,ボール,リュック,一人,一生,不思議,久米,人まかせ,今日,仕方なし,仙人,冷やかさ,分り,助かっ,化けの皮,回転,地盤,墜落,大声,天来,女房,子供,定め,履歴,山登り,市内,心得,必然,思いだし,思っ,悩まさ,悪霊,悲しく,我々,投げやり,放校,散々,新潟,日ごろ,暗幕,柔道,楼閣,死ぬ,生命,発し,白状,看破,知識,砂上,窒息,童貞,至極,落っこっ,行く,行っ,要する,語ら,読み"
小林多喜二,北海道の「俊寛」,ポジティブ,0.8560234904289246,1186,"北海道,チヤツプリン,俊寛,行く,内地,出来,函館,労働,小樽,ストーヴ,仕事,停車,喰い,奥地,寒い,帰つ,自分,自由,降る,黄金,アラスカ,オツ,ギユンギユン,ギリギリ,トテモ,メリヤス,不思議,中央,乾い,伐り開い,何故,入つ,凍てつき,出さ,出す,出る,出来る,出稼,切符,列車,包ん,半ば,半纏,原始,同じ,吸いつく,吹雪,呼ん,喜ば,始まる,少ない,島流し,崩し,布切れ,帰れ,帰ろう,帽子,引き合い,思い出す,払おう,拓殖,持つ,改札,敷設,時代,暗い,暗く,更に,棒頭,模様,横取り,正月,決して,汽車,流れ込ん,浮浪,海岸,深い,減る,燃やし,片方,盛岡,真黒,眼差し,硝子,秋田,立つ,細かい,続々,群れ,行き,行け,見える,見落す,言葉,買え,資本,赤い,越年,足駄,近く,過ぎる,鉄道,間に合う,雇わ,青森,駅員,北海道,チヤツプリン,俊寛,行く,内地,出来,函館,労働,小樽,ストーヴ,仕事,停車,喰い,奥地,寒い,帰つ,自分,自由,降る,黄金,アラスカ,オツ,ギユンギユン,ギリギリ,トテモ,メリヤス,不思議,中央,乾い,伐り開い,何故,入つ,凍てつき,出さ,出す,出る,出来る,出稼,切符,列車,包ん,半ば,半纏,原始,同じ,吸いつく,吹雪,呼ん,喜ば,始まる,少ない,島流し,崩し,布切れ,帰れ,帰ろう,帽子,引き合い,思い出す,払おう,拓殖,持つ,改札,敷設,時代,暗い,暗く,更に,棒頭,模様,横取り,正月,決して,汽車,流れ込ん,浮浪,海岸,深い,減る,燃やし,片方,盛岡,真黒,眼差し,硝子,秋田,立つ,細かい,続々,群れ,行き,行け,見える"
種田山頭火,鎖ペンを握って,ポジティブ,0.8560253977775574,1645,"思う,三十,気分,白楊,置き,若い,諸君,中年,二三,出さ,可い,四十,嬉しく,微笑,心持,態度,捧げ,書い,最近,欲しい,歌い,歌集,編輯,自己,芸術,雑誌,53,エムファサイズ,クリーム,シニカル,ストリンドベルヒ,チェーホフ,ドストエヴスキー,ハイカ,フェヤセックス,ポプラ,一人,一半,三百,下さる,下る,与太郎,並べ,並べる,二十,二百,互選,今朝,付く,代り,以上,以前,会合,会名,伸びゆけ,併し,俳句,充分,兎に角,内容,出し,出来よう,出来る,初めて,勝手,匂い,可愛い,可愛く,各人,各地,同名,呟く,呶々,喧嘩,囁か,囈語,困る,在住,地方,堪忍,大正,大胆,失敗,嫌味,嬉しい,嬉しかっ,実行,対し,小っぽけ,小供,少々,少し,少女,希望,度々,従っ,必ず,必要,忙しい,悲しみ,感嘆,感心,感想,感謝,慟哭,成り立っ,或は,或る,所収,打た,抱い,拗ね,持っ,接吻,文句,文芸,断る,新しい,新らしい,日数,早く,春愁,春風,暗い,最大,期限,本号,本社,東京,椋鳥,次号,正直,沸き立っ,泣き,洩らす,淋しい,混ぜ返す,溜息,為る,無邪気,熟し,熱い,現わす,生れ,申さ,画家,留置,発刊,白泉,皮肉,真面目,睨合,矛盾,短歌,祈る,立て,笑っ,答える,組織,経営,纏っ,置け,老爺,良心,芽生え,若々し,若き,若し,若葉,行え,観照,解散,詳細,読ん,読後,貰い,足り,込ま,近い,通読,連中,遠慮,適切,郊外,郷土,野暮,間投,限る,雅量,雑録,離れ,露骨,面白い,面白かろう,面白く,順番,頼ん,願わく,高い,思う"
櫻間中庸,獏,ポジティブ,0.8560293912887573,912,"空想,バク,始め,立札,金網,ｂａｋｕ,ポトリ,五六,内容,味噌,好き,思つ,持つ,斯う,疲れ,眠つ,薄暗,見出し,食つ,キリ,クツ,セメント,ベンチ,ボソボソ,ロマンチック,不思議,乍ら,云へ,以來,仲よく,來る,依然,偶然,兎に角,切り,動物,午後,口ずさむ,噴水,失望,好奇,少く,左側,強要,待た,思ひがけ,思ふ,恐ろしく,感じ,感ぜ,或る,擴大,日本,明る,昔人,月並,模索,歡喜,正面,水音,流轉,溶け込ん,然う,現實,生き,異樣,發見,直進,眺め,瞳孔,知れ,短かい,突出,突然,網膜,自分,自身,行つ,褐色,要し,見ひらい,見る,調節,輝い,選ん,避け,降す,面前,頑丈,食ふ,飽か,空想,バク,始め,立札,金網,ｂａｋｕ,ポトリ,五六,内容,味噌,好き,思つ,持つ,斯う,疲れ,眠つ,薄暗,見出し,食つ,キリ,クツ,セメント,ベンチ,ボソボソ,ロマンチック,不思議,乍ら,云へ,以來,仲よく,來る,依然,偶然,兎に角,切り,動物,午後,口ずさむ,噴水,失望,好奇,少く,左側,強要,待た,思ひがけ,思ふ,恐ろしく,感じ,感ぜ,或る,擴大,日本,明る,昔人,月並,模索,歡喜,正面,水音,流轉,溶け込ん,然う,現實,生き,異樣,發見,直進,眺め,瞳孔,知れ,短かい,突出,突然,網膜,自分,自身,行つ,褐色,要し,見ひらい,見る,調節,輝い,選ん,避け,降す,面前,頑丈,食ふ,飽か"
木暮理太郎,黒部峡谷,ポジティブ,0.8560390472412109,12805,"山脈,黒部,立山,廊下,峡谷,附近,温泉,花崗,二千,針葉,岩壁,或は,東沢,祖母,至る,六百,合流,困難,最も,森林,高い,両岸,以上,劒沢,可き,小屋,日本,林道,見る,闊葉,下流,多い,徒渉,更に,殆ど,薬師,仙人,危険,在る,尾根,左岸,思う,支流,登山,白馬,今日,即ち,多く,思わ,想像,成し,水源,薙川,カール,三十,三千,三百,上流,五郎,勿論,場所,多量,少し,山稜,峭壁,平均,廻り,最高,有する,本流,来る,槍ヶ岳,毛勝,流れ,浴槽,迸発,連峰,達する,遡行,部分,針ノ木,雪渓,餓鬼,高度,黒岳,九百,二十,会社,位置,全く,劒岳,北半,北方,右岸,同じ,噴出,大きな,大正,如き,如く,孰れ,少く,少ない,山廻り,広く,従っ,成っ,抉れ,断崖,斯く,於け,最低,木挽,東谷,桃原,案内,水量,河原,沿う,湧き出し,猟師,発達,祖父,称呼,純林,絶壁,自然,行く,見える,角閃,越中,足ら,距離,通る,連ね,連続,開け,険悪,鷲羽ヶ岳,鹿島,アゾ,アルプス,並行,乃至,乏しい,人夫,以前,以北,以後,作用,信州,出合,出来る,占め,呼ぶ,四十,在り,地点,堆積,増し,如何に,容易,小黒,少しく,尽き,山岳,岩石,帯び,当る,御前,感ずる,懸崖,断層,既に,普通,望ま,極めて,欅平,此処,比較,決して,河幅,河床,深い,盗伐,直径,相当,知れ,示す,積雪,続き,縦走,繁っ,至っ,至り,若し,華岳,蒸気,蓮華,行わ"
堀辰雄,巣立ち,ポジティブ,0.8560394644737244,10207,"小鳥,彼女,アカハラ,コッテエヂ,靴屋,出し,自分,生籬,二人,野茨,思つ,見え,茂み,何處,啼き,親鳥,近づい,ヴェランダ,見る,言つ,ステッキ,云つ,好い,好き,小さな,小屋,移り,言ひ,下ろし,云ひ,其處,分る,思ひ出し,拔け,灌木,知ら,知れ,立ち,莫迦,行か,見える,見つけ,集會,頭上,鳥籠,一めん,丁度,不安,元氣,入つ,兩手,再び,可愛,咲い,啼い,大きな,巣立つ,幸福,感じ,懸つ,本當,歩い,毎朝,消え,煉瓦,病身,突然,立つ,立て,竝ん,考へ,自身,花ざかり,蝙蝠傘,認め,雛鳥,jay,ヒガラ,ブレスト,レッド,一しよ,一ぱい,一向,一層,一種,下り,主人,云ふ,人間,仕方,他人,住み心地,傍ら,先き,先づ,兩側,分ら,切つ,勿論,半ば,去つ,反對,可愛らしい,喰つ,四五,外人,大きく,大抵,夫婦,少し,山道,忘れ,快活,思ひ,恰好,愉し,愉しま,持主,放し,明くる日,林道,歩き,殆ど,殘り,毎日,泣きわめい,片手,片脚,生え,生活,白い,目つき,相手,瞬間,矢先,空想,突立つ,聞え,聞き,背後,英吉利,草むら,落ち,葉がくれ,行つ,見せ,言ふ,訊い,説明,調べ,走り,轉車,近く,追つ,通り過ぎ,鋭い,閉さ,顏馴,飛び,飛び出し,breast,red,アカシヤ,カアブ,カケス,キビタキ,チョッキ,トンネル,ロビン,一人,一塊り,一息,一蹴,上方,下りる,不便,不平,不幸,不思議,不意,亂暴,云へ,五六,亭主,人々,人家,人生,今年,仔細,代り,任せ,似つかはしく,住ま,住みつか,住む,住ん,住人,何あに,何しろ,佗びしく"
