author,title,nega_posi,score,length,words
田山録弥,犬,ポジティブ,0.8802528381347656,7848,"行く,行つ,夫妻,言つ,何う,来る,大きな,好い,行か,北京,出し,大変,夫人,感じ,若い,頻り,眺め,美しい,蒙古,天津,見え,何処,向う,御座い,徳子,思つ,次第,此方,立つ,赤峰,遠く,ドイツ,今日,出来,同じ,小さな,建物,思ひ起し,持つ,捨て,案内,立ち,自分,船室,船長,言へ,言葉,迎へ,近く,遠い,ホテル,一体,一緒,二人,伴れ,入つ,埠頭,少し,悲鳴,想像,暗い,楊柳,細君,絶え,舷側,行き,言ふ,話し,進ん,随分,静か,馬車,鳴い,ザラザラ,ジヤンク,一室,一層,万寿,下り,不思議,不知,世話,中々,乗せ,乞食,二三,以上,何れ,何方,出帆,到る,吼え,周囲,囁き,塞外,大きい,大連,寝る,寝床,巻い,年増,広い,当る,微か,思ふ,戯談,招か,挙げ,日本,昨夜,村落,桟橋,椅子,此処,水色,汽船,浮気,濁流,煉瓦,独語,狭斜,生活,用事,甲板,発見,白い,着い,砂漠,硝子,続い,繰返し,置い,聞い,自動,苦力,行ける,見廻し,見物,見送り,親切,護衛,近い,遂に,雑誌,離れ,面影,風車,オランダ,ガタガタ,シイト,スヰツチ,ダイア,チラチラ,ヂヤツク,ヂヤンク,ハツチ,パラソル,フオーク,フランス,ボンネツト,ランダ,ロマンチツク,一二,一刻,一夜,一杯,一番,一目,一種,丁度,万年青,万里,三十,下し,両側,両岸,並べ,並ん,乏しい,乗る,事件,互ひ,交す,交はさ,交はし,介抱,仕方,仕立て,仲間,会社,会話,位置,何しろ,何故,佗し,佗しい,佗しく,倉庫,停車,僅か"
三宅やす子,買ひものをする女,ポジティブ,0.8802578449249268,1759,"買物,居る,時代,風呂敷,呉服,生活,行つ,以上,品物,少し,次第,趣味,下町,云ひ,出し,嗜好,大きな,女性,嬉し,子供,家庭,心持,手拭,持つ,提げ,日常,来る,興味,豆腐,費用,近所,選択,電車,食事,食堂,グツ,ビラ,ピカ,ママ,マーク,メリンス,一人一人,一番,一般,三井,三越,乍ら,云つ,云は,云ふ,人々,令嬢,何卒,何故,余地,余裕,便宜,光る,入つ,八百屋,出來る,出掛ける,分ら,分量,別室,利か,制限,前身,割安,包紙,千種,半襟,卒業,反抗,反物,可成,向上,商売,喜び,増す,売る,多く,大変,大抵,夫人,女中,婦人,嫁入,学校,学用,定り,実力,密接,少く,展開,希望,常習,平素,廃せ,廃止,得意,徳用,必需,応じ,愛着,感じ,態度,押し通す,抽斗,指環,時間,暫く,書物,書生,服装,木綿,本当,果物,根拠,案内,楽しみ,此処,歩い,殆ど,気質,注文,状態,現代,現出,理屈,用意,用達,番頭,盆暮,目的,眺める,着物,知ら,知れ,種々,箪笥,範囲,簡便,結局,縮図,縮緬,育つ,腐心,膳部,自慢,自身,菓子,薄暗い,被布,見かけ,見出し,覚え,記憶,設け,許り,購買,越後屋,身の廻り,輝かしい,通り,連れ,進歩,運ぶ,選び,部分,部屋,配ら,醤油,金額,銀座,間に合わ,関し,関係,附い,難い,面倒,顧客,食べ,高い,魚屋,買物,居る,時代,風呂敷,呉服,生活,行つ,以上,品物,少し,次第,趣味,下町,云ひ,出し"
石原純,左千夫先生への追憶,ポジティブ,0.8802621960639954,4140,"先生,我々,思う,思っ,歌会,趣味,行っ,対し,対する,折り,彗星,性格,明治,書か,歌論,気分,知識,自信,自然,見える,雑誌,アララギ,一室,万葉,世間,向け,四十,地球,大学,嬉しく,子規,尋ね,小説,少し,帰っ,平淡,強い,徹し,忘るる,思い,愛し,感じ,感慨,態度,懐かし,懐かしい,手紙,斎藤,最も,本当,本郷,根岸,欧州,正岡,歩い,毎月,決して,汽車,熱心,現代,眼前,知ら,素朴,絶対,自分,若々しい,見る,言っ,言わ,話し,認め,身体,近代,進取,遺憾,閑寂,離れる,静か,非常,馬酔木,スイス,チューリッヒ,ドイツ,ハリー,ラジウム,一人,一緒,一般,一部,一面,七十,三十,下宿,不思議,世界,中年,中心,乞い,予想,予感,事がら,事実,二十,京橋,人々,人間,今度,今後,仕事,他面,以前,会し,伴う,住ん,体格,体現,何ごと,何もの,価値,偉大,停車,健康,元気,入っ,入口,出かけ,出かける,分子,切り,切実,別荘,刺戟,励まさ,千葉,印刷,厭味,友だち,受け,受けとっ,古めかしい,同様,向こう,否定,呆然,味わっ,命日,喧ましい,地震,地面,執拗,基づく,変異,夏ごろ,多摩,夜分,夜気,大いに,大きな,天体,太陽,失っ,奥まっ,好ん,孤り,学問,学生,定め,宛名,実況,寂しい,寂しく,寂び,寓居,寝しずまっ,専攻,少数,山腹,崇拝,川べり,川崎,左千夫,席上,帰る,平気,年上,年月,年齢,幽幻,座敷,庭さき,強味,当たる,当時,待っ,待つ,御嶽,徹する,心地,忘れ,忘れる"
江戸川乱歩,怪人二十面相,ポジティブ,0.8802782297134399,111346,"明智,二十,面相,探偵,小林,少年,老人,少し,部屋,壮太郎,自動,先生,美術,ハハハ,刑事,警官,博物,羽柴,警察,ピストル,乞食,考え,部下,小五郎,子ども,壮一,大きな,警視,中村,相手,見え,仏像,運転,事件,思う,持っ,総監,諸君,地下,ホテル,ボーイ,化け,帰っ,早く,見る,辻野,変装,新聞,電話,思わ,用意,宝物,心配,怪盗,電燈,ダイヤモンド,思い,思っ,立っ,読者,館長,左門,時間,知ら,答え,赤井,日下部,玄関,陳列,イス,ドア,ピッポ,人物,博士,エレベーター,人間,写真,笑い,約束,近藤,ガラス,予告,人々,学校,待っ,東京,知っ,コック,一同,入れ,同じ,小さな,手紙,松野,聞こえ,行っ,観音,主人,使い,北小路,午後,廊下,用心,盗賊,表門,走っ,階段,館員,黒い,ポケット,安心,宝石,想像,捜査,秘書,自分,誘かい,道具,入り口,助手,呼ん,意味,手下,笑っ,美しい,見つめ,見はり,話し,警戒,カバン,メートル,三十,両手,信じ,出し,夕方,外務,建物,気のどく,浮浪,紳士,聞い,自身,魔法,ウン,今夜,仕事,危険,名画,国宝,大ぜい,日本,替え玉,盗難,説明,近づい,鉄道,首領,アッ,ハッと,不安,勝利,口調,名まえ,喜び,大じょうぶ,夫人,寅三,感じ,懐中,手段,気持,着物,知れ,知恵,背広,裏門,見える,見まわし,親分,追っ手,食事,ハンカチ,プラットホーム,ポーチ,向こう,品物,帰り,待ち,思いだし,早苗,時計,書い,書斎,歩い,負け,走り,身動き,逮捕,運び"
岸田國士,緑の星,ポジティブ,0.880279541015625,13983,"夫人,相原,深草,彼女,言つ,自分,一人,ホテル,二十,ポーチ,思ひ,レコード,部屋,同じ,気持,聞い,若い,青年,増野,思つ,思ふ,想ひ,感じ,時間,来る,椅子,火夫,甲板,申し,申しあげ,相手,行つ,言ひ,言葉,エリザベス,二人,俊春,出し,名前,女中,待つ,忘れ,眺め,知れ,見え,見える,近づい,食事,食堂,一方,一番,三十,今夜,今度,今日,別荘,勝手,参り,場所,客船,帳場,思は,思へ,愚か,戯談,普通,最後,欧洲,決して,玄関,紅海,考へる,興味,航路,落ち,蓄音,遠い,降り,ウイスキー,エメラルド,ガラス,ストーヴ,タイプ,ハイ,ハンケチ,ボート,一夜,一緒,丁寧,主役,事務,人影,今年,仕事,以外,以来,仰せつかり,仲間,低く,傾け,働い,入れ,切なく,別れ,勤め,半分,印度,合図,向け,呑む,呟い,呼ん,呼吸,夕食,外人,夜中,大学,夫婦,奉公,女性,存在,小さい,小刻み,巻い,帰つ,幕切れ,平生,幸福,引上げ,張合,待ち,後ろ,意味,意識,撰ぶ,散歩,日本,早い,明り,星空,時分,案内,横浜,次ぎ,歩き,沙漠,滞在,澄ん,特別,現在,生き,生活,申せ,瞬間,知ら,笑ひ,笑顔,答へ,紅茶,紅葉,細君,結構,考へ,聞かし,聴き,自由,航海,船員,行く,表情,視線,覚え,訊い,訊ねる,話し,読書,起ちあがり,近い,返事,連れ,運び,遠く,遠慮,長い,限ら,離れ,静か,高級,魅力,鳴る,249,7305,アジア,アドルム,アフリカ,アラビヤ,インド,エア,ガラン,キイパア"
喜多村緑郎,「明治のおもかげ」序にかえて,ポジティブ,0.8802802562713623,966,"取っ,伯父,多かっ,思う,明治,松永,毎夜,色気,金升,一人,三谷,下総,主義,二人,二十,仕事,住っ,作品,作者,充分,入れる,六十,内容,凝っ,勿論,単に,叩き起す,叩け,合点,同情,向う,吹い,商家,喜多村,回送,場所,多聞,夜明け,夜更し,大阪,始め,子息,寄合,尠なかっ,尤も,帰っ,年頃,序文,庵主,役者,待乳,忘れ,思え,情歌,情緒,想い出さ,意気,愛想,我家,手紙,披瀝,持た,方面,既に,明かす,昔日,景色,書い,書け,望ましく,東京,根気,極み,歌留多,正に,此方,殆ど,毎日,気力,沁み,没頭,泊め,洩れ,浅草,深く,独得,留守,発句,真剣,知る,研究,立竦む,結ば,緑郎,締出し,纏綿,群れ,聖天,聞い,茶屋,落語,蘊蓄,行く,親がかり,誘っ,越し,踏み,近く,迫っ,連中,連続,遅く,遠い,降っ,隅田,随筆,集っ,集り,雑俳,雨垂れ,頗る,題名,顧みる,風来,鶯亭,取っ,伯父,多かっ,思う,明治,松永,毎夜,色気,金升,一人,三谷,下総,主義,二人,二十,仕事,住っ,作品,作者,充分,入れる,六十,内容,凝っ,勿論,単に,叩き起す,叩け,合点,同情,向う,吹い,商家,喜多村,回送,場所,多聞,夜明け,夜更し,大阪,始め,子息,寄合,尠なかっ,尤も,帰っ,年頃,序文,庵主,役者,待乳,忘れ,思え,情歌,情緒,想い出さ,意気,愛想,我家,手紙,披瀝,持た,方面,既に,明かす,昔日,景色,書い,書け,望ましく,東京,根気,極み,歌留多,正に"
国枝史郎,わかりきった話,ポジティブ,0.8802808523178101,1266,"小説,探偵,大衆,作家,勉強,盛ん,イキイキ,文学,立て,雑誌,マゲ,ロクな,世界,云っ,人間,何故,必要,思っ,手近,放送,新進,既成,曾て,沢山,活用,衰え,運動,面白く,クサ,サル,ッて,トリック,ハダカ,ビラ,ラジオ,一時,三十,不可,亀雄,争わ,今日,仕方ない,以上,会合,住ん,作る,先生,先輩,全く,出かけ,出さ,出せ,出来る,出版,刺繍,創作,千葉,単行,却って,吟味,困まら,場合,壁掛,変っ,大下,奮起,好適,実行,将来,少く,建て,張れ,恋人,意見,掲載,支持,新聞,時間,書か,書き,書く,書斎,最も,本屋,来る,森下,欧米,水谷,江戸,洋館,浪人,浮世,無い,無く,生活,甲賀,石膏,研究,称する,移せ,立っ,立てる,立派,納っ,純粋,組ま,美人,聴取,自分,薄っぺら,行っ,街頭,衰える,見詰め,計画,説い,読ん,読者,講演,起こす,起し,遠く,都合,雨村,騒ぎ,高級,小説,探偵,大衆,作家,勉強,盛ん,イキイキ,文学,立て,雑誌,マゲ,ロクな,世界,云っ,人間,何故,必要,思っ,手近,放送,新進,既成,曾て,沢山,活用,衰え,運動,面白く,クサ,サル,ッて,トリック,ハダカ,ビラ,ラジオ,一時,三十,不可,亀雄,争わ,今日,仕方ない,以上,会合,住ん,作る,先生,先輩,全く,出かけ,出さ,出せ,出来る,出版,刺繍,創作,千葉,単行,却って,吟味,困まら,場合,壁掛,変っ,大下,奮起,好適,実行,将来,少く,建て,張れ,恋人,意見"
森鴎外,鴎外漁史とは誰ぞ,ポジティブ,0.8802845478057861,6107,"鴎外,文壇,居る,新聞,主筆,語る,云っ,如き,小説,文学,読ん,云う,公衆,如く,時代,諸家,書け,死ん,知ら,自ら,過ぎ,出し,幸福,文章,東京,樗牛,立っ,至っ,雑誌,人々,即ち,対し,当時,思想,明治,無い,然る,見る,評価,読む,読者,議論,露伴,与え,九州,分身,副わ,博文,同じ,同時,善く,圏外,多少,子規,幽霊,弟子,従事,新しい,新年,日日,末流,独り,猪股,知っ,福岡,署し,草紙,記者,認め,語ら,足ら,饒舌,エピゴノイ,一面,丁度,三十,下さい,不思議,与うる,世間,久しく,争う,交っ,伝う,作者,俳諧,個人,先ず,免れ,別人,前人,前後,動かす,医学,名声,周章,四迷,地方,境界,墓穴,多く,天下,太陽,好し,宙外,少い,帝国,強い,当っ,往き,忘るる,応じ,忽ち,思っ,所謂,批評,抱月,接し,敢て,新刊,方面,既に,明言,昨年,普遍,曰う,書い,曽我,樵夫,求むる,決して,活動,漁夫,知れ,称し,紅葉,紹介,聞こえ,虚名,虚舟,要求,言う,言っ,読書,談じ,諸君,足る,逍遥,進歩,過去,過言,道士,門外,陬邑,ゲルハルト,ハウプトマン,一事,一人,一入,一派,一端,一驚,下し,下り,不平,世の中,世事,中っ,中天,中枢,乃ち,乱軍,了する,争い,事業,二十,云い,云え,交り,交わる,交誼,京阪,人死,人物,代り,以て,以下,以後,伝っ,伺う,何故,依る,依れ,依然,促さ,信ずる,信任,借す,借っ,借る"
夏目漱石,博士問題とマードック先生と余,ポジティブ,0.880286455154419,4920,"先生,日本,読ん,英語,博士,辞退,凡て,思う,手紙,聞い,ガウン,希臘,全く,出来,同じく,夏目,学校,当時,得る,教授,歴史,紙片,置い,自分,英国,著作,ネル,フラ,フライ,マードック,人間,傑出,出し,出来る,報知,学位,山県,必ず,思っ,悉く,教場,文学,新聞,書い,殆んど,生徒,生活,紹介,聞か,袖口,襯衣,見え,認め,述作,高等,バックボーン,ベイン,モラル,二十,今日,使う,信じ,分っ,分ら,受ける,受取っ,同時,同級,問題,大分,天下,如何,始め,小供,少し,届い,帰っ,従っ,徳義,心得,忘れ,思わ,性質,意義,手数,持っ,挙げ,教え,日常,時々,時間,栄誉,比較,毫も,漢字,無論,用意,目的,知名,研究,突然,立派,脊髄,自身,著書,著述,行っ,表紙,西洋,言葉,読む,談話,貸し,返し,進歩,過ぎ,重き,限り,隠者,風呂敷,食っ,鹿児島,黄色い,黒い,鼠色,アラス,アラック,カーライル,グラッドストーン,ジュアン,ジョン,スペンサー,ドン,ボヘミアニズム,モーレー,一人,一体,一封,一節,一般,一行,一言,一読,一部,丁寧,丁度,上書,下ら,下り,不満,与え,世間,両様,中折,中途,丹念,主義,久しい,乗じ,予期,事件,事情,二人,五十雄,人となり,人伝,人士,人格,人物,人類,今回,今度,仕事,以上,仰い,仲間,任せ,伊予,伏せ,伝え,何人,何故,何時,余念,作っ,作法,使っ,使用,便宜,促がす,保存,保証,信書,借り,倫敦,傾け,儲から,先例,入ら,公平"
夢野久作,巡査辞職,ポジティブ,0.8802906274795532,32282,"一知,巡査,草川,マユミ,夫婦,区長,屋敷,青年,ラジオ,自分,無い,来る,人々,検事,行っ,云う,両親,事件,考え,ハイ,犯人,一人,二人,兇器,行く,砥石,オナリ,出し,一緒,云っ,出来,台所,国道,鶴木,人間,切っ,直ぐ,若い,モウ,幸福,持っ,極めて,殺さ,神経,見る,通り,養子,以上,写真,同時,御座い,感じ,気持,知ら,美しい,郷村,駐在,タッタ,九郎,仕事,何故,出来る,大きな,始め,座敷,想像,新しい,最初,父親,相違,色々,見え,這入っ,アト,ドウ,下さい,今度,凝視,刑事,器械,庖丁,思い,思う,毎晩,注意,疲れ,白い,背後,藁切,蚊帳,警察,違い,アッ,シッカリ,一行,今更,今朝,以前,兇行,入れ,入口,在る,小さな,思わ,成る程,昨夜,暗い,木立,枕元,止め,残っ,深く,状態,発見,相当,老人,附け,限り,電燈,養母,タタキ,上っ,主任,事実,井戸,付け,司法,呼ん,問題,学生,寝る,小高い,思っ,意味,手紙,拭い,捜索,敷石,次第,準備,疑い,知れ,神林,神秘,突然,絶対,緊張,肥料,自動,良家,行か,行き,過ぎる,関係,静か,アイ,イヤ,コンナ,スッカリ,パイ,一生,一種,一面,中の間,云わ,信用,働い,先生,全然,冷笑,前科,勝手口,合わせ,周囲,夢中,嫉妬,寝床,小舎,帰っ,恐ろしく,或る,手段,村民,極端,気付か,深刻,無かっ,無言,田舎,申し,知り,突立っ,結果,聞い,裁判,襯衣,見せ,言葉,起き,込ん"
