author,title,nega_posi,score,length,words
織田作之助,勝負師,ポジティブ,0.8643764853477478,4695,"坂田,将棋,自信,子供,対局,泣き声,花田,思っ,想い,相手,突き,自分,再び,書い,木村,青春,修業,来る,気持,自身,雑誌,一手,一生,大阪,天龍,思う,思わ,悲劇,振り,文芸,父親,聴い,背中,良い,苦し,行っ,観戦,語っ,負け,近代,運命,ハア,一筋,三吉,乱暴,人びと,人生,佐々木,信じ,全く,勝つ,勝負,可能,大事,大書,好き,小次郎,小説,度胸,弱み,強い,性格,悪口,惹か,感想,打た,折れ,指す,攻め,敗将,敢て,昭和,暮し,棋力,棋士,棋戦,死に,泣い,済ま,無論,王手,真剣,瞬間,突く,細君,経とう,結果,考え,聴え,脆い,脱俗,苦労,言葉,記事,読め,赤ん坊,部屋,間違え,阿呆,食っ,ジリジリ,チリチリ,ピシャリ,ピンピン,ボソボソ,一方,一流,一瞬,七十,上っ,不遜,世話,両人,二人,京都,亭主,人物,仕掛け,代え,代り,伝え,伝っ,余り,余生,余裕,作戦,便所,個性,個所,倒さ,働き,僧侶,凝り固め,出る,出来,出来る,切り抜き,切れ,初段,利い,前代,加え,勝ち,勝手,南禅,去ら,受け,古い,古傷,合理,合駒,同時,同様,向う,向け,含み,呑ま,呼ん,唯一,問題,喧伝,嘲笑,囁か,団扇,地道,坐り直し,執拗,場所,境地,変梃,多い,多く,夜更け,天外,天馬,失わ,失礼,奇想,好き嫌い,如き,妻子,威力,安らか,完敗,家出,宿命,寄せ,寝苦しい,対し,尽き,局面,市場,底ぬけ,廊下,弁解,引きあげ,張りあげ,強く,強気,後者"
折口信夫,お伽草子の一考察,ポジティブ,0.8643796443939209,2065,"比丘尼,懺悔,絵解き,草子,勧進,時代,琵琶,伊勢,訣る,室町,歩い,物語,現れ,一生,一種,古い,古く,形式,文句,文学,方面,更に,歌合せ,法師,熊野,片手,相違,称せ,説明,一体,上方,以前,信仰,初期,同じ,地獄,多い,属す,徳川,心持ち,思は,恐らく,持つ,文字,極楽,民間,生活,系統,考へ,職人,自分,行つ,行は,見える,言へ,関係,附け,一入,一層,一緒,一纏め,三十,了う,事実,二人,仏教,仮令,何々,促す,傾城,出来,出発,切実,判ら,前宮,効果,単なる,却つて,参籠,参詣,反省,反魂,受けとめ,同一,同時,名高い,告白,唱へる,唱導,喧しく,地搗き,堕ち,増鏡,大神,大鏡,天台,如き,宝印,小さい,小唄,小説,川崎,弘通,弾き,弾じ,後世,意識,感ぜ,懸け,手本,投げる,持続,既に,普通,書き現さ,本態,来る,林子,極つ,構成,模倣,次第,止ら,深く,源流,溯れ,潰れ,為事,無論,牛王,特色,理想,画か,発表,直接,真偽,確か,示す,祈祷,移る,種類,突然,節付け,節廻し,紀州,組み立て,聖訓,職業,胚胎,自ら,自然,色香,著い,行き,行基,表し,襲い,見せ,見せしめ,見れ,言は,言へる,訣ら,註し,語つ,語り,説き,説経,足ら,踊り,近く,通俗,遊女,違ひ,部類,配る,関する,音頭,比丘尼,懺悔,絵解き,草子,勧進,時代,琵琶,伊勢,訣る,室町,歩い,物語,現れ,一生,一種,古い,古く,形式,文句,文学,方面,更に"
伊藤左千夫,草花日記,ポジティブ,0.8643807172775269,312,"行く,朝顔,10,33,万葉,中垣,余種,作る,入る,八百,兼題,出し,台子,向島,呼び,命ず,咲く,女郎花,寒し,小雨,帰る,幸男,手水鉢,択び,掛軸,携え,早し,明治,本所,来る,根岸,檜扇,法恩,狭き,百花,盛り,真筆,絵師,署名,花屋,茘枝,草花,表具,表装,見る,訪う,買い,輪講,這い,金杉,風炉,飲み,香取"
林芙美子,雪の町,ポジティブ,0.8643863201141357,11054,"美津江,云ふ,祖父,神聖,行つ,東京,人間,戰爭,炬燵,思つ,來る,座敷,學生,少し,持つ,淺草,美津,藝者,二人,早く,景色,氣持ち,考へ,若い,云は,今夜,出し,思ひ,澤山,珍らしい,知ら,見る,リンゴ,ンな,二三,二十,云つ,亡く,働い,兵隊,出る,大學,好き,學校,對し,小波,工場,心配,思ひ出し,毎日,老人,芝居,行か,馬鹿,アメリカ,一人,一生,三味,世の中,世話,云ひ,云へ,仕方,凭れ,助役,呆んやり,小糸,復員,感じ,昨夜,時代,暮し,濟ん,熱い,生き,生活,眞木,神棚,笑ひ,美人,自由,通り,連れ,部屋,金井,長い,降る,駄目,アイス,クリーム,バス,ミシン,モンペ,一寸,一杯,下さい,不思議,五郎,仕事,以來,何しろ,何時,來れ,偉い,偶然,僞物,出來,判ら,助かり,勇士,半七,口車,同輩,向い,吹きつけ,場合,場所,外國,天井,小さい,小さく,少々,山々,帝國,平氣,形式,役者,彼女,怖れ,思ひ出,思ふ,想ひ,愉しみ,戸外,手紙,效果,暖く,最も,本郷,果て,樣子,正直,死ぬ,殘忍,汚れ,泣黒子,淹れ,煙草,燒い,燒け,生れ,町長,白い,眉毛,眺め,眺める,矛盾,知人,禿げ,秩序,竝ん,結構,聞い,自分,良人,花火,行く,觀念,言葉,讀ん,軍人,轉入,透かし,過ぎ,道具,野放し,銀杏,開け,障子,雜誌,面白い,面目,馬車,々々,アルミ,アルミニュウム,アン,コップ,サア,ショール,スパイ,ハンカチ,パトロン,パラシュウト,パン,ビロード,ブラシ,ヘッヘッヘ,ポスター,ラジオ"
小川未明,竹馬の太郎,ポジティブ,0.8643894195556641,1817,"太郎,竹馬,乗っ,子供,遊ん,高い,取っ,持ち主,野原,大きな,見つけ,一人,取る,小さな,思っ,急い,泣い,熟し,頼み,ガキ,乗る,乗れ,仰ぐ,入れ,円い,凍っ,去っ,友だち,取り,叫び,困っ,夜中,大人,大好き,大騒ぎ,女の子,寒い,小川,屋根,帰っ,引き連れ,怒り,思い,悲しん,探す,早い,明るい,歩い,毎日,渡っ,照らす,物蔭,田舎,男の子,登れ,白子,真っ赤,知ら,聞き,自由,見つかっ,見張っ,話し,走っ,走る,跳ね,近所,逃げ,連れ,閉め,開け,降り,隠れ,雨戸,飛びだし,飛ん,食わ,駈け,驚い,鬼ごっこ,黒い,黙っ,太郎,竹馬,乗っ,子供,遊ん,高い,取っ,持ち主,野原,大きな,見つけ,一人,取る,小さな,思っ,急い,泣い,熟し,頼み,ガキ,乗る,乗れ,仰ぐ,入れ,円い,凍っ,去っ,友だち,取り,叫び,困っ,夜中,大人,大好き,大騒ぎ,女の子,寒い,小川,屋根,帰っ,引き連れ,怒り,思い,悲しん,探す,早い,明るい,歩い,毎日,渡っ,照らす,物蔭,田舎,男の子,登れ,白子,真っ赤,知ら,聞き,自由,見つかっ,見張っ,話し,走っ,走る,跳ね,近所,逃げ,連れ,閉め,開け,降り,隠れ,雨戸,飛びだし,飛ん,食わ,駈け,驚い,鬼ごっこ,黒い,黙っ"
堀辰雄,夏の手紙,ポジティブ,0.8643903732299805,5537,"自分,小説,手紙,レムブラント,自身,モオリアック,リルケ,書い,美しい,風景,小さな,知ら,行つ,輕井,シュテルン,プス,ベルク,去年,同じ,地方,持つ,書き,詩集,讀ん,カプス,ヒュッテ,一人,二人,云へ,人間,住ん,偶然,出す,出來,夕方,思つ,悲しみ,本當,物語,生活,空想,置い,置き,美し,考へ,言ひ,詩人,野村,アル,ドラクロワ,マラガ,事務,云ひ,云ふ,京都,今年,何處,作者,來る,傍ら,先生,光線,切つ,助言,唯一,外人,大事,好い,好意,存在,山里,山麓,建築,微光,怪我,愛し,我々,批評,描い,搖曳,散歩,晩年,暮らし,最後,獨逸,病氣,目ざめる,知れ,祟り,空しい,立派,若き,葡萄,行き,見える,見せる,見つめ,見る,言つ,論文,辛抱,通じ,遠い,雉子,離れ,食べ,arrire,got,アダルベルト,クサヴェア,サマリア,シャルル,シュティフテル,ステッキ,デュ,フランス,フランツ,フロマンタン,ボス,ボヘミヤ,ユフスゲ,一しよ,一ぱい,一向,一夏,一番,一種,一緒,一遍,一驚,三十,下ら,不安,世界,主人,乏しい,二十,人物,今度,仕事,仕方,他愛,似つか,何事,作法,來ら,信じ,信濃,偏愛,働い,元氣,充ち,先き,先づ,入つ,入る,入口,全部,其處,内部,冒頭,凡そ,出づる,出合,前室,前者,創造,匈奴,十分,半分,卓子,原野,及ば,友達,口笛,同樣,同胞,名前,向う,吹き出し,呼吸,咲く,善良,喋舌り,喬木,嘆い,土曜,坐り,埋もれ,基調,場合,外部,大きな,大へん,大切,大地,大森,奈良,好き,好ん"
北大路魯山人,だしの取り方,ポジティブ,0.8643953204154968,2493,"昆布,料理,削る,切れる,削っ,削り,京都,使用,大工,持っ,知ら,亀節,使う,入れ,削り節,場合,悪い,日本,考え,ガラス,サッ,一方,出る,切れ味,勧め,取る,外国,家庭,必要,方法,本節,東京,無理,煮る,生き,研げ,経済,美味,能率,薄く,表面,道具,選択,インチキ,オチ,カンカン,クタクタ,グラグラ,ゴミ,ゴリゴリ,ジャーッ,スープ,ダブル,チーズ,ッと,トロトロ,バター,ポトポト,一刻,一応,一流,一般,上げ,上等,下手,世界,九十,五十,仕事,以外,作る,使っ,値打ち,値段,充分,光沢,入っ,入る,入れる,具合,出す,出来る,切れ,利い,刺身,削れ,匂い,北海道,危険,反省,受け,古来,叩き,合わす,吸っ,周知,商売,器用,堂々,多い,大いに,大きい,大味,大変,奮起,安く,実習,実際,対する,専門,小さく,差し支え,平ら,幸せ,引き上げる,引出し,当然,従っ,心がける,心配,思う,情けない,惜しい,感じ,我慢,披露,拍子,持た,持ち,持つ,指先,文句,早く,最上,最近,材料,栄養,案ずる,死ぬ,死ん,水道,決して,湿っぽい,無色,熱湯,牛乳,現在,甘味,生涯,産出,発達,真似,瞬間,知れ,知識,研い,立て,簡単,素人,結構,続い,美味い,習慣,自由,良否,落とし,講義,買う,購入,赤錆,迫ら,透明,通し,通す,達成,選べ,重き,重なる,鈍く,長い,長く,間に合わ,間違い,雁皮,非常,食通,骨頂,高価,鳴らす,昆布,料理,削る,切れる,削っ,削り,京都,使用,大工,持っ,知ら"
小川未明,春の日,ポジティブ,0.8644075989723206,2045,"笑い,兵士,鳴らし,御殿,機嫌,美しい,集まっ,二人,入れ,取る,大事,家来,帰っ,帰り,愛する,紙芝居,軍勢,願い,三郎,両方,争っ,仕度,似顔,住む,何事,出し,午後,同じ,告げ,呼び集める,命じ,問い,土橋,城下,堅め,子供,宝物,容易,得意,忠勇,思い出し,思し召さ,思わ,恥ずかし,悪口,戦争,打ち解ける,押し寄せ,損じ,支那,歩い,泣き,消え,珍しく,登っ,直す,直り,積ま,笑っ,笑わ,糸口,終わり,美人,考え深,装束,見せ,見つから,見る,見張り,親指,走っ,輝い,遊ぶ,遊ん,関の山,降り,集まり,集め,驚き,鳴ら,鳴らさ,鳴らす,鳴らせ,黄昏,笑い,兵士,鳴らし,御殿,機嫌,美しい,集まっ,二人,入れ,取る,大事,家来,帰っ,帰り,愛する,紙芝居,軍勢,願い,三郎,両方,争っ,仕度,似顔,住む,何事,出し,午後,同じ,告げ,呼び集める,命じ,問い,土橋,城下,堅め,子供,宝物,容易,得意,忠勇,思い出し,思し召さ,思わ,恥ずかし,悪口,戦争,打ち解ける,押し寄せ,損じ,支那,歩い,泣き,消え,珍しく,登っ,直す,直り,積ま,笑っ,笑わ,糸口,終わり,美人,考え深,装束,見せ,見つから,見る,見張り,親指,走っ,輝い,遊ぶ,遊ん,関の山,降り,集まり,集め,驚き,鳴ら,鳴らさ,鳴らす,鳴らせ,黄昏"
佐々木邦,人生正会員,ポジティブ,0.8644306659698486,11546,"社長,言っ,三十,会員,何う,数珠,南無阿弥陀仏,念仏,人生,会社,広瀬,行っ,一夫,二十,再婚,好い,青山,少し,思っ,持っ,秘書,芳子,言う,貰っ,ハッハヽヽ,基督,学校,帽子,自分,行く,電話,丈け,仏教,信者,四十,家内,小野寺,尚子,尻尾,構わ,盲判,考え,被ら,話し,通り,駄目,一人,初婚,問題,子供,宜い,心得,思う,成程,本当,此方,申上げ,皮肉,知れ,給え,綺麗,置き,若い,一妻,一時,今日,仕方,分っ,割っ,困る,変化,多妻,夫婦,心境,心持,忘れ,悉皆,悟り,意味,来世,機嫌,熊谷,矢っ張り,美人,言い,訊い,貰う,買っ,一種,丁度,下さい,主張,二人,五十,仕事,以下,何処,何故,余計,先生,兎に角,公式,冗談,初め,加え,動機,取っ,取れる,叱ら,唱え,喪中,報告,場合,多い,大野,天国,夫人,専務,屹度,庶務,当て,待っ,待合,従姉,御覧,必要,意志,感じ,敢えて,断っ,昇給,普段,書類,有難う,未亡人,次第,為め,無論,独身,理窟,生殺し,禿げ,積極,結構,絶対,続い,縁談,聊か,西洋,見え,見る,註文,説明,道心,違っ,飛ん,髪の毛,ギャア,ジャン,ピアノ,マホメット,モーニング,ライオン,一生,一番,不純,人心,仏道,令嬢,以上,以来,仮り,伽藍,余り,俄か,修業,元気,入り,入る,六十,出し,出勤,出家,出来,分り,切符,利く,刺戟,割増,加える,勘違い,勤め,半年,卒業,及ば,反対,同時,向う,向っ,唱名"
宮本百合子,「修身は復興すべきでしょうか」に答えて,ポジティブ,0.8644328713417053,133,"修身,生活,大人,理解,人民,人間,国際,子供,思い,情勢,感情,整理,現代,現実,疑問,確立,積極,表現,非理"
